nombre,central,tecnologia_etiqueta,nombre_agente,tecnologia,tecnologia_maquinas,potencia_instalada_mw,provincia,departamento,aglomeracion,sistema,pah,id_renovar,resolucion_renovables,fuente,geojson
AG PTO ESPERANZ,PESP,Biomasa,ECO-ENERGIA S.A.BIOMASA,BIOM,BIOMASA,,MISIONES,Iguazú,PUERTO WANDA Y ALREDEDORES,Interconectado MEM,,BM-05,,cammesa,"{""type"":""Point"",""coordinates"":[-54.5846788198957,-26.0282553887687]}"
H RIO ESCONDIDO,RESCHI,Hidroeléctrica (Menor a 50 Mw),PAH RIO ESCONDIDO-PATAG,HI<50,HIDRAULICA <=50,7.2,RIO NEGRO,Bariloche,,Interconectado MEM,Si,PAH-05,,cammesa,"{""type"":""Point"",""coordinates"":[-71.5619328722314,-41.6913359639147]}"
CT ANCHORI METH,ANCH,Térmica,CT ANCHORIS,DI,MOTOR DIESEL,40,MENDOZA,Luján de Cuyo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.8914738972821,-33.3130765626064]}"
CT EZEIZA,EZEI,Térmica,CT EZEIZA CIERRE CC G.MEDIT. - CT EZEIZA ETAPA1 G MEDITERRANE - CT EZEIZA ETAPA2 G MEDITERRANE,CC,TURBO GAS - TURBO VAPOR,152.1,BUENOS AIRES,Ezeiza,GRAN BUENOS AIRES,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.6156698152538,-34.9032758613051]}"
LOMA CAMPANA,LCAM,Térmica,CT LOMA CAMPANA 1 -YPF,TG,TURBO GAS,105,NEUQUEN,Añelo,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.7148242358121,-38.3595604538842]}"
BARKER UGENERGY,BRKE,Térmica,CT BARKER - CT BARKER CIERRE CC,CC,TURBO GAS - TURBO VAPOR,247.84,BUENOS AIRES,Benito Juárez,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.4525864280643,-37.5474741786532]}"
MOTOR. B.BLANCA,BBLM,Térmica,CT PIEDRABUENA MG(L.LATA),DI,MOTOR DIESEL,100.02,BUENOS AIRES,Bahía Blanca,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-62.2530799547161,-38.7851812192552]}"
RAWSON 3 EOLICO,RAW3EO,Eólica,P.EOLICO RAWSON III - GENNEIA,EOL,EOLICA,25.05,CHUBUT,Rawson,,Interconectado MEM,,MAT-EOL-01,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1925570415199,-43.3721686564317]}"
SAN PEDRO BSAS,PEDR,Térmica,CT SAN PEDRO - CIERRE CC - SCC POWER SAN PEDRO S.A.,CC,TURBO GAS - TURBO VAPOR,158.46,BUENOS AIRES,San Pedro,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-59.7297423756043,-33.7791537860128]}"
C.T BRACHO,BRCH,Térmica,CT BRACHO CIERRE CC- Y-GEN S.A - CT BRACHO - Y-GEN ELECTRICA II,CC,TURBO GAS - TURBO VAPOR,473,TUCUMAN,Cruz Alta,,Interconectado MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.1704805746058,-26.996969421893]}"
