PILOTO,EQUIPO,PUNTOS_TOTALES,CARRERA,PUNTOS
J. Ciconte,MP Motorsport,8,China_R1,0
J. Ciconte,MP Motorsport,8,China_R2,0
J. Ciconte,MP Motorsport,8,Miami_R1,0
J. Ciconte,MP Motorsport,8,Miami_R2,0
J. Ciconte,MP Motorsport,8,PaisesBajos_R1,0
J. Ciconte,MP Motorsport,8,PaisesBajos_R2,0
J. Ciconte,MP Motorsport,8,Singapur_R1,0
J. Ciconte,MP Motorsport,8,Singapur_R2,4
L. Billard (WCD),Hitech TGR,0,Arabia_R1,0
L. Billard (WCD),Hitech TGR,0,Arabia_R2,0
L. Billard (WCD),Hitech TGR,0,Canada_R1,0
L. Billard (WCD),Hitech TGR,0,Canada_R2,0
L. Billard (WCD),Hitech TGR,0,Canada_R3,0
L. Billard (WCD),Hitech TGR,0,China_R1,0
L. Billard (WCD),Hitech TGR,0,China_R2,0
L. Billard (WCD),Hitech TGR,0,Miami_R1,0
L. Billard (WCD),Hitech TGR,0,Miami_R2,0
L. Billard (WCD),Hitech TGR,0,PaisesBajos_R1,0
L. Billard (WCD),Hitech TGR,0,PaisesBajos_R2,0
L. Billard (WCD),Hitech TGR,0,Singapur_R1,0
L. Billard (WCD),Hitech TGR,0,Singapur_R2,0
L. Block,ART Grand Prix,33,Arabia_R1,0
L. Block,ART Grand Prix,33,Arabia_R2,0
L. Block,ART Grand Prix,33,Canada_R1,12
L. Block,ART Grand Prix,33,Canada_R2,1
L. Block,ART Grand Prix,33,Canada_R3,0
L. Block,ART Grand Prix,33,China_R1,0
L. Block,ART Grand Prix,33,China_R2,2
L. Block,ART Grand Prix,33,Miami_R1,0
L. Block,ART Grand Prix,33,Miami_R2,0
L. Block,ART Grand Prix,33,PaisesBajos_R1,8
L. Block,ART Grand Prix,33,PaisesBajos_R2,0
L. Block,ART Grand Prix,33,Singapur_R1,10
L. Block,ART Grand Prix,33,Singapur_R2,0
M. Bruce,Hitech TGR,0,Arabia_R1,0
M. Bruce,Hitech TGR,0,Arabia_R2,0
M. Bruce,Hitech TGR,0,Canada_R1,0
M. Bruce,Hitech TGR,0,Canada_R2,0
M. Bruce,Hitech TGR,0,Canada_R3,0
M. Bruce,Hitech TGR,0,China_R1,0
M. Bruce,Hitech TGR,0,China_R2,0
M. Bruce,Hitech TGR,0,Miami_R1,0
M. Bruce,Hitech TGR,0,Miami_R2,0
M. Bruce,Hitech TGR,0,PaisesBajos_R1,0
M. Bruce,Hitech TGR,0,PaisesBajos_R2,0
M. Bruce,Hitech TGR,0,Singapur_R1,0
M. Bruce,Hitech TGR,0,Singapur_R2,0
M. Paatz (WCD),Hitech TGR,0,Arabia_R1,0
M. Paatz (WCD),Hitech TGR,0,Arabia_R2,0
M. Paatz (WCD),Hitech TGR,0,Canada_R1,0
M. Paatz (WCD),Hitech TGR,0,Canada_R2,0
M. Paatz (WCD),Hitech TGR,0,Canada_R3,0
M. Paatz (WCD),Hitech TGR,0,China_R1,0
M. Paatz (WCD),Hitech TGR,0,China_R2,0
M. Paatz (WCD),Hitech TGR,0,Miami_R1,0
M. Paatz (WCD),Hitech TGR,0,Miami_R2,0
M. Paatz (WCD),Hitech TGR,0,PaisesBajos_R1,0
M. Paatz (WCD),Hitech TGR,0,PaisesBajos_R2,0
M. Paatz (WCD),Hitech TGR,0,Singapur_R1,0
M. Paatz (WCD),Hitech TGR,0,Singapur_R2,0
M. Weug,MP Motorsport,142,Arabia_R1,8
M. Weug,MP Motorsport,142,Arabia_R2,25
M. Weug,MP Motorsport,142,Canada_R1,0
M. Weug,MP Motorsport,142,Canada_R2,0
M. Weug,MP Motorsport,142,Canada_R3,8
M. Weug,MP Motorsport,142,China_R1,6
M. Weug,MP Motorsport,142,China_R2,20
M. Weug,MP Motorsport,142,Miami_R1,5
M. Weug,MP Motorsport,142,Miami_R2,0
M. Weug,MP Motorsport,142,PaisesBajos_R1,7
M. Weug,MP Motorsport,142,PaisesBajos_R2,28
M. Weug,MP Motorsport,142,Singapur_R1,8
M. Weug,MP Motorsport,142,Singapur_R2,27
N. Gademan,Prema Racing,60,Arabia_R1,1
N. Gademan,Prema Racing,60,Arabia_R2,6
N. Gademan,Prema Racing,60,Canada_R1,15
N. Gademan,Prema Racing,60,Canada_R2,6
N. Gademan,Prema Racing,60,Canada_R3,0
N. Gademan,Prema Racing,60,China_R1,0
N. Gademan,Prema Racing,60,China_R2,1
N. Gademan,Prema Racing,60,Miami_R1,4
N. Gademan,Prema Racing,60,Miami_R2,0
N. Gademan,Prema Racing,60,PaisesBajos_R1,10
N. Gademan,Prema Racing,60,PaisesBajos_R2,8
N. Gademan,Prema Racing,60,Singapur_R1,1
N. Gademan,Prema Racing,60,Singapur_R2,8
N. Havrda,Hitech TGR,1,Arabia_R1,0
N. Havrda,Hitech TGR,1,Arabia_R2,0
N. Havrda,Hitech TGR,1,Canada_R1,1
N. Havrda,Hitech TGR,1,Canada_R2,0
N. Havrda,Hitech TGR,1,Canada_R3,0
N. Havrda,Hitech TGR,1,China_R1,0
N. Havrda,Hitech TGR,1,China_R2,0
N. Havrda,Hitech TGR,1,Miami_R1,0
N. Havrda,Hitech TGR,1,Miami_R2,0
N. Havrda,Hitech TGR,1,PaisesBajos_R1,0
N. Havrda,Hitech TGR,1,PaisesBajos_R2,0
N. Havrda,Hitech TGR,1,Singapur_R1,0
N. Havrda,Hitech TGR,1,Singapur_R2,0
R. Ferreira,Campos Racing,15,Arabia_R1,0
R. Ferreira,Campos Racing,15,Arabia_R2,0
R. Ferreira,Campos Racing,15,Canada_R1,0
R. Ferreira,Campos Racing,15,Canada_R2,0
R. Ferreira,Campos Racing,15,Canada_R3,0
R. Ferreira,Campos Racing,15,China_R1,4
R. Ferreira,Campos Racing,15,China_R2,4
R. Ferreira,Campos Racing,15,Miami_R1,1
R. Ferreira,Campos Racing,15,Miami_R2,0
R. Ferreira,Campos Racing,15,PaisesBajos_R1,0
R. Ferreira,Campos Racing,15,PaisesBajos_R2,4
R. Ferreira,Campos Racing,15,Singapur_R1,0
R. Ferreira,Campos Racing,15,Singapur_R2,2
T. Hausmann,Prema Racing,46,Arabia_R1,3
T. Hausmann,Prema Racing,46,Arabia_R2,8
T. Hausmann,Prema Racing,46,Canada_R1,8
T. Hausmann,Prema Racing,46,Canada_R2,3
T. Hausmann,Prema Racing,46,Canada_R3,12
T. Hausmann,Prema Racing,46,China_R1,0
T. Hausmann,Prema Racing,46,China_R2,0
T. Hausmann,Prema Racing,46,Miami_R1,2
T. Hausmann,Prema Racing,46,Miami_R2,0
T. Hausmann,Prema Racing,46,PaisesBajos_R1,0
T. Hausmann,Prema Racing,46,PaisesBajos_R2,10
T. Hausmann,Prema Racing,46,Singapur_R1,0
T. Hausmann,Prema Racing,46,Singapur_R2,0
W. Shi (WCD),Hitech TGR,0,Arabia_R1,0
W. Shi (WCD),Hitech TGR,0,Arabia_R2,0
W. Shi (WCD),Hitech TGR,0,Canada_R1,0
W. Shi (WCD),Hitech TGR,0,Canada_R2,0
W. Shi (WCD),Hitech TGR,0,Canada_R3,0
W. Shi (WCD),Hitech TGR,0,China_R1,0
W. Shi (WCD),Hitech TGR,0,China_R2,0
W. Shi (WCD),Hitech TGR,0,Miami_R1,0
W. Shi (WCD),Hitech TGR,0,Miami_R2,0
W. Shi (WCD),Hitech TGR,0,PaisesBajos_R1,0
W. Shi (WCD),Hitech TGR,0,PaisesBajos_R2,0
W. Shi (WCD),Hitech TGR,0,Singapur_R1,0
W. Shi (WCD),Hitech TGR,0,Singapur_R2,0
